Rainbow Road	Clover Bow|Sword of the Rainbow’s End|Katana of Good Fortune|Clover Star|Painbow|Prismatic Slasher|Rainbow Rod|Staff of the Saint
Santa’s Workshop	Cloak of Winter|Coalbearing Quiver|Vigil Spell|Nativity Tome|Pathfinder’s Helm|Resounding Shield|Advent Seal|Holly Poison|Skull of Krampus|Greedsnatcher Trap|Snowbound Orb|Ornamental Prism|Scepter of Sainthood|Ilex Star|Peppermint Wakizashi|Snowman’s Sheath
Pirate Cave	Corsair Ring
Forest Maze	Bramble Bow|Cocoon Quiver
Spider Den	Poison Fang Dagger|Spider Shuriken|Spider’s Eye Ring
Forbidden Jungle	Staff of the Crystal Serpent|Cracked Crystal Skull|Robe of the Tlatoani|Crystal Bone Ring
The Hive	Orb of Sweet Demise|Honey Scepter
Snake Pit	Wand of the Bulwark|Snake Charmer Pungi|Snakeskin Armor|Snake Eye Ring
Sprite World	Staff of Extreme Prejudice|Cloak of the Planewalker|Mace of the Celestial Forest
Ancient Ruins	Arcane Rapier
Magic Woods	Spirit Staff|Enchantment Orb|Woodland Robe|Fairy Ring|Shield of Flowing Clarity
Candyland Hunting Grounds	Bubblegum Bucket|Candy-Coated Armor
Undead Lair	Spectral Sword|Doom Bow|Wandering Souls Spell|Ring of Skeletal Specters
Puppet Master’s Theatre	Marionette Ravager|Prism of Dancing Swords|Harlequin Armor
Toxic Sewers	Void Blade|Murky Toxin
Cursed Library	Corruption Cutter|Wand of Hidden Knowledge|Necronomicon|Scholar’s Seal|Ronin’s Wakizashi
Mad Lab	Conducting Wand|Scepter of Fulmination|Robe of the Mad Scientist|Experimental Ring
Abyss of Demons	Demon Blade|Volcanic Sheath|Berserker’s Breastplate
Manor of the Immortals	Bone Dagger|Kyuuketsuki Hitogoroshi|St. Abraham’s Wand|Tome of Purification|Chasuble of Holy Light|Ring of Divine Faith
Haunted Cemetery	Soul’s Guidance|Plague Poison|Resurrected Warrior’s Armor
The Machine	Mister Mango|Butter Bow|K.I.D.D. Force|Caduceus of Current Craziness|MMace MMurderer|Blade of Ages|Groovy Mango|Baked Bow|K.I.D.D. Force 2.0|Caduceus Of Enlightened Chaos|FFabulous FFlail|Blade of Blooming|Mirror Cloak|Archerang|Spelling Spell|Tome of Moral Support|Challenger Helm|Shield of Pogmur|Seal of Eternal Life|Lightning in a Bottle|Epiphany Skull|Helium Trap|Karma Orb|Fool’s Prism|Honey Scepter Supreme|Unshuriken|NSFWakizashi|Lullaby|Recursion Mace|Paper Machete|Sigil of the Rubber Duck|Cheater Light Armor|Cheater Robe|Cheater Heavy Armor
Oryx’s Castle	Ancient Stone Sword|Spiteful Scutum
Oryx’s Chamber	Cloak of the Mad God|Chicken Leg of Doom (Seasonal)|Anatis Staff (Seasonal)|Apocalypse Feather (Seasonal)
Davy Jones’ Locker	Spirit Dagger|Ghostly Prism|Spectral Cloth Armor|Captain’s Ring|Quartermaster Scabbard
Ice Cave	Staff of Esben|Skullish Remains of Esben|Esben’s Shaman Attire|Esben’s Wedding Ring
Ocean Trench	Coral Bow|Coral Venom Trap|Coral Silk Armor|Coral Ring|Sharktooth Sigil
Malogia	Sun’s Judgement|Comet of Calamity|Fire Blade
Untaris	Dueling Daggers|Snowblind Wand|Moonbeam Blade
Katalund	Blazon Bow|Warlord Wand|Gaseous Glaive
Forax	Corrosion Cutter|Foramite Staff|Acidic Slasher
Legacy Heroic Undead Lair	Doom Bow|Bow of the Morning Star
Legacy Heroic Abyss of Demons	Demon Blade|Sword of Illumination (Limited)
Battle for the Nexus	Sunshine Shiv|Robobow|KoalaPOW|Spicy Wand of Spice|Doctor Swordsworth|Arbiter’s Wrath
The Crawling Depths	Spider Silk Bow|Doku No Ken|Mace of the Depths|Silken Sigil
Woodland Labyrinth	Elder Heartwood Staff|Leaf Bow|Wakizashi of Eastern Winds|Labyrinth Dweller’s Sheath
Deadwater Docks	Pirate King’s Cutlass|Wavecrest Concertina
Puppet Master’s Encore	Thousand Shot|Prism of Dire Instability
Cnidarian Reef	Bottled Medusozoan|Cnidaria Rod
The Tavern	The Right Hook|Tipsy Topper|Double Vision Darts|Cask Corslet|Brewer’s Bangle
Belladonna’s Garden	Perennial Cranium|Hanagasaku
Queen Bunny Chamber	Bunny Ear Tachi|Caramel Spellblade|Shard Launcher|Egg Basher|Chocolate Ovipositor|Hatchling Blades
Sulfurous Wetlands	Brambletooth Tachi|Bogwood Crook|Sulfuric Stone|Warped Mantle|Thistleleaf Necklace
Parasite Chambers	Recurring Terror Spell|Tome of Pain|Scepter of Devastation|Maw of Malignance
Mountain Temple	Wand of the Fallen|Orb of Aether|Jade Storm|Kaiken
Lair of Draconis	Celestial Blade|Leaf Dragon Hide Armor|Water Dragon Silk Robe|Fire Dragon Battle Armor|Midnight Star|Vision of Draconis|Draconic Insignia
Tomb of the Ancients	Tome of Holy Protection|Pharaoh’s Requiem|Ring of the Sphinx|Ring of the Nile|Ring of the Pyramid
The Third Dimension	Morning Square|Cloak of Cubic Enigma|Shadow Serpent Sidearm|Seal of Cubic Conundra|The Triangle|Ring of Cubed Wisdom
Lair of Shaitan	Skull of Endless Torment|Wakizashi of Crossing Fires|Igneous Starblossom
Heroic Undead Lair	Spectral Sword|Doom Bow|Bow of the Morning Star|Wandering Souls Spell|Spirit’s Bane|Ring of Skeletal Specters
Infernal Abyss of Demons	Demon Blade|Sword of Illumination|Volcanic Sheath|Adamantine Helm|Berserker’s Breastplate
Wine Cellar	Tome of Holy Furor|Shield of Jawgmur (Limited)|Longbow of Spirits and Shadows (Limited)
Ice Tomb	Enchanted Ice Shard|Ring of the Northern Light|Frimarra|Arctic Bow|Freezing Quiver
Mad God Mayhem	Cloak of the Mad God|Jade Storm|Tome of Holy Furor|Shield of Flowing Clarity|Silex’s Hammer|Krathana|Random Spell Extraction Device
The Trials of Cronus	Arcane Rapier|Spirit Staff|Enchantment Orb|Woodland Robe|Fairy Ring|Shield of Flowing Clarity|Doom Bow|Bow of the Morning Star (Limited)|Wandering Souls Spell|Ring of Skeletal Specters|Demon Blade|Sword of Illumination (Limited)|Volcanic Sheath|St. Abraham’s Wand|Tome of Purification|Chasuble of Holy Light|Ring of Divine Faith|Bone Dagger|Corruption Cutter|Necronomicon|Spirit Dagger|Ghostly Prism|Spectral Cloth Armor|Captain’s Ring|Quartermaster Scabbard|Coral Bow|Coral Venom Trap|Coral Silk Armor|Coral Ring|Doku No Ken|Mace of the Depths|Wand of the Fallen|Orb of Aether|Jade Storm|Kaiken|Staff of Esben|Skullish Remains of Esben|Esben’s Shaman Attire|Esben’s Wedding Ring|Brambletooth Tachi|Bogwood Crook|Warped Mantle|Sulfuric Stone|Cloak of Cubic Enigma|Seal of Cubic Conundra|Shadow Serpent Sidearm|Dirk of Cronus|Eternal Echo
Secluded Thicket	Tezcacoatl’s Tail|Sealed Crystal Skull|Penetrating Blast Spell|Tlatoani’s Shroud
High Tech Terror	B.O.W.|S.T.A.F.F.|Q.U.I.V.E.R.|S.H.E.A.T.H.|E.Y.E.
Ice Citadel	Staff of Esben|Skullish Remains of Esben|Esben’s Shaman Attire|Esben’s Wedding Ring|Esben’s Vows|Ase’s Echo|Esben’s Twisted Heart
The Nest	Queen’s Stinger|Combcutter Kunai|Hivemaster Helm|Hivemind Mace|Swarmlord’s Sigil|Green Beehemoth Quiver
Cultist Hideout	Burial Blades|Staff of Unholy Sacrifice|Skull of Corrupted Souls|Ritual Robe|Bloodshed Ring
Hidden Interregnum	Obsidian Macuahuitl|Pirate’s Sidearms|Ritual Khopesh|Gilded Chain Scythe|Frangible Longbow|Royal Sekhem|Rusted Barrel|Storm Caller|Huntsman’s Volley|Forbidden Artifact|Corsair’s Crown Jewel|Sheath Of Thunderous Rites|Storied Blades|Heavy Syndicate Attire|Mystic Syndicate Attire|Light Syndicate Attire|Fractured Hannya|Faded Heart Scarab|Sunken Fire Opal Ring
Fungal Cavern	Crystallized Worm Spellblade|Crystal Shield|Cave Dweller Trap|Sporous Spray Spell|Tome of the Mushroom Tribes|Fungal Breastplate|Ring of Decades
Crystal Cavern	Fractal Blades|Cloak of Refraction|Echoes Prism|Star of Enlightenment|Fractured Gemstone Wakizashi|Irradiance Sheath|Crystalline Sigil|Crystallised Mist|Ring of Decades
Spectral Penitentiary	Damnation|Tools of the Tarnished|Command Cornea|Motivational Megaphone|Ocular Entrapment|Overwhelming Axehead|Sinister Syringes|Cackling Straitjacket|Wretched Rags
Kogbold Steamworks	Steam Pipe|Laser Pointer|Chain Dagger|Kogbold Cower Shield|Scepter of Rust|Brain Cube
Lost Halls	Sword of the Colossus|Marble Seal|Breastplate of New Life|Magical Lodestone
The Void	Bow of the Void|Quiver of Shadows|Armor of Nil|Sourcestone|Omnipotence Ring
Moonlight Village	Sage’s Wakibiki|Ethereal Happi|Flowering Kimono|Rain Maker|Taiko Drums|Elegant Parasol|Makakoyumi|Tezutsu Hanabi|Kagenohikari
Oryx’s Sanctuary	Superior|Genesis Spell|Diplomatic Robe|Chancellor’s Cranium|Avarice|Gambler’s Fate|Turncoat Cape|Collector’s Monocle|Lumiaire|Chaotic Scripture|Vesture of Duality|Divine Coronation|Enforcer|Ballistic Star|Centaur’s Shielding|Battalion Banner|Divinity|Oryx’s Escutcheon|Gladiator Guard|Exalted God’s Horn
The Shatters	The Forgotten Ring|Royal Guard’s Cuirass|Royal Guard’s Cuirass (Rehearsal)|Valor|Valor (Rehearsal)|Vanguard’s Visage|Vanguard’s Visage (Rehearsal)|Sentinel’s Sidearm|Sentinel’s Sidearm (Rehearsal)|Bracer of the Guardian|Bracer of the Guardian (Rehearsal)|Vest of Abandoned Shadows|Vest of Abandoned Shadows (Rehearsal)|Dusky Catalyst|Dusky Catalyst (Rehearsal)|Primal Arcana|Primal Arcana (Rehearsal)|Polarity Poison|Polarity Poison (Rehearsal)|The Twilight Gemstone|The Twilight Gemstone (Rehearsal)|Mantle of the Monarchy|Mantle of the Monarchy (Rehearsal)|Warmonger|Warmonger (Rehearsal)|Peacekeeper|Peacekeeper (Rehearsal)|Noble Mandolin|Noble Mandolin (Rehearsal)|The Forgotten Crown|The Forgotten Crown (Rehearsal)|Chrysalis of Eternity
The Realm	Dirk of Cronus|Crystal Wand|Crystal Sword|Ray Katana|Jailer’s Scythe|Hama Yumi|Barnacle Basher|Cloak of Bloody Surprises|Blue Beehemoth Quiver|Red Beehemoth Quiver|Yellow Beehemoth Quiver|Quiver of Thunder|Tablet of the King’s Avatar|Helm of the Juggernaut|Shield of Ogmur|Seal of Blasphemous Prayer|Crystallised Fang’s Venom|Trap of the Vile Spirit|Orb of Conflict|Kageboshi|Greaterhosen|Mighty Stein|Deadly Keg|Adventurer’s Scarf|Torrential Staff|Celestial Recurve|Mace of the Pumpkin Effigy|Pirate’s Artillery|Skull of Restless Souls|Doom’s Emblem|Cavalry Lance|Cloak of the Deep|Evolutionary Records|Pollen Incendiary|Bloodbath Blade|Runes of Knowledge|Fitted Protective Matrix|Magic Protective Matrix|Heavy Protective Matrix|Keychain Cutlass (Limited)|Vitamine Buster (Seasonal)|Helm of the Swift Bunny (Seasonal)|Botany Book (Seasonal)|Sakura Wakizashi (Seasonal)|Incubation Mace (Seasonal)|Staff of Iceblast (Seasonal)|Frozen Wand (Seasonal)|Eternal Snowflake Wand (Seasonal)|Enchanted Ice Blade (Seasonal)|Tome of Frigid Protection (Seasonal)|Esben’s Twisted Heart (Seasonal)|Gem of Tenderness (Limited)|Gem of Adoration (Limited)|Soulful Affection (Limited)|Heart of Gold Prism (Limited)|Yokai Amulet (Limited)
The Tinkerer
(Daily Quest Room)	Heartstruck Bow (Seasonal)|Quiver of Dazing Love (Seasonal)|Cupid’s Garments (Seasonal)|Ring of Unbound Love (Seasonal)|Arctic Bow (Seasonal)|Freezing Quiver (Seasonal)|Ice Crown (Seasonal)|Sunny Side Bow (Seasonal)|Sakura Wakizashi (Seasonal)|Eternal Graved Great Sword (Seasonal)|Spriteful Shield (Seasonal)|Eggre Battle Armor (Seasonal)|Tiara of Eggscellent Sturdiness (Seasonal)|Helm of the Jack-o’-naut (Seasonal)|Trap of the Blood Spirit (Seasonal)|Orb of Terror (Seasonal)|Phantasm Dirk (Seasonal)|Cloak of Eerie Trepidation (Seasonal)|Spooky Smasher (Seasonal)|Longbow of Spirits and Shadows (Seasonal)|Loaded Core (Limited)|Entropy Reactor (Limited)
Miscellaneous	Bronze Medal (Limited)|Silver Medal (Limited)|Gold Medal (Limited)|America Ring (Limited)
